start_min,start_sec,end_min,end_sec,duration,note,,
26,58,27,19,21,starting,,36
1,13,1,23,10,starting_montage,,
2,7,2,12,5,genie outfit and classroom,,
12,55,12,57,2,girl dance,,
15,52,15,54,2,nod,,
17,26,17,30,4,peer pressure dance,,
33,33,33,37,4,squats,,
15,52,15,54,2,nod,,
5,35.5,5,37,1.5,shoes,,
12,47,12,48,1,girl dance closeup,,
23,0,23,4,4,breakdancing,,
43,46,43,48,3,frustration umbrella,,
8,25,8,28,3,swaying by tree,,
12,51,12,59,8,girl dance slomo,,
36,35,36,38,3,rap smiling,,
9,50,9,53,3,fall down,,
13,9,13,15,6,kick - fast,,
14,26,14,29,3,fashion,,
15,52,15,54,2,nod,,
17,21,17,27,6,smoking,,
17,26,17,30,4,peer pressure dance,,
17,55,18,6,11,smoking,,
12,55,12,57,2,girl dance,,
13,45,13,48,3,popcorn on head,,
13,25,13,28,3,kick,,
5,35.5,5,37,1.5,shoes,,
9,50,9,53,3,fall down,,
17,46,17,48,2,peer pressure,,
15,52,15,54,2,nod,,
33,33,33,37,4,squats,,
13,25,13,28,3,kick,,
36,8,36,17,9,rap,,
36,35,36,38,3,rap smiling,,
43,46,43,48,3,frustration umbrella,,
9,50,9,53,3,fall down,,
12,47,12,48,1,girl dance closeup,,
15,52,15,54,2,nod,,
17,46,17,48,2,peer pressure,,
31,47,31,52,5,boom box walking,,
26,12,26,18,6,breakdancing 2,,